,station_id,station_name,station_latitude,station_longitude
1,3000.0,MLSWKiosk,40.755467,-73.986536
26,3020.0,NYCBS Test,40.6466068,-74.01597
114,3019.0,NYCBS Depot - DEL,40.716633,-73.981933
3,464.0,E 56 St & 3 Ave,40.75934501,-73.96759673
4,271.0,Ashland Pl & Hanson Pl,40.685226719472546,-73.97800147533417
5,404.0,9 Ave & W 14 St,40.7405826,-74.00550867
7,431.0,Hanover Pl & Livingston St,40.68864636,-73.98263429
8,3133.0,E 67 St & Lexington Ave,40.76734259143217,-73.96485865116121
9,3181.0,Soissons Landing,40.692609,-74.016398
13,538.0,E 48 St & Madison Ave,40.75666,-73.97668399999998
14,318.0,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874
16,3149.0,E 82 St & 2 Ave,40.77517793,-73.95324922
46,218.0,Gallatin Pl & Livingston St,40.69028437,-73.98707105
95,290.0,2 Ave & E 58 St,40.76020258,-73.96478473
0,3234.0,E 40 St & Madison Ave,40.75159368451112,-73.98043155670166
1,294.0,Washington Square E,40.73049393,-73.99572140000002
2,512.0,W 29 St & 9 Ave,40.7500727,-73.99839279
5,3104.0,KentAve&N7 St,40.72057658,-73.96150225
6,3229.0,Marcy Ave & MacDonough St,40.68061768455451,-73.94624948501588
7,3014.0,3969.TEMP (Bike The Branches - Central Branch),40.722852,-73.959114
8,3252.0,Bike The Branches - Red Hook Branch,40.67534953067412,-74.01002034544946
10,3097.0,N Henry St & Richardson St,40.71921585,-73.94244690000002
11,521.0,8 Ave & W 31 St N,40.75096734871597,-73.99444207549095
12,463.0,9 Ave & W 16 St,40.74206539,-74.00443172
14,233.0,Cadman Plaza W & Pierrepont St,40.69475701363877,-73.99052739143372
16,375.0,Mercer St & Bleecker St S,40.72679454,-73.99695094
18,250.0,Lafayette St & Jersey St N,40.72456089,-73.99565293
20,300.0,Shevchenko Pl & E 7 St,40.728145,-73.990214
21,3385.0,2 Ave & E 105 St,40.7898175,-73.94296109
22,510.0,W 51 St & 6 Ave,40.7606597,-73.98042047
23,3266.0,Kiosk in a box Deployment,40.70861098096821,-73.92850399017334
24,3222.0,Hanson Pl & St Felix St,40.68515959989177,-73.97711366415024
25,3138.0,E 77 St & Park Ave,40.774405455003,-73.96175265312193
26,160.0,E 37 St & Lexington Ave,40.44535,-73.978238
28,3291.0,Riverside Dr & W 91 St,40.7933718,-73.97685115
31,3287.0,W 87 St & West End Ave,40.790261,-73.977131
32,263.0,Elizabeth St & Hester St,40.71759081805981,-73.99622440338135
33,329.0,Greenwich St & North Moore St,40.72015227023285,-74.01036500930786
39,3089.0,Leonard St & Meeker Ave,40.717318403855785,-73.9482021331787
40,137.0,E 56 St & Madison Ave,40.761628,-73.972924
43,3084.0,Devoe St & Leonard St,40.71348658,-73.94792458
44,3099.0,Leonard St & Manhattan Ave,40.72152240339303,-73.94898265600203
46,3079.0,Leonard St & Grand St,40.71103537,-73.94714303
47,352.0,W 56 St & 6 Ave,40.76340613,-73.97722479
0,367.0,E 53 St & Lexington Ave,40.75828065,-73.97069431
1,3446.0,NYCBS Depot - STY - Valet Scan,0.0,0.0
2,3237.0,21 St & 41 Ave,40.75383343437622,-73.94267678260802
3,3017.0,NYCBS Depot - FAR,40.751483,-73.996764
4,3246.0,Montague St & Clinton St,40.694281141397326,-73.99230033159256
5,3230.0,Penn Station Valet,40.751283596962296,-73.99692445993422
6,475.0,E 16 St & Irving Pl,40.73524276,-73.98758561
7,3098.0,Leonard St & Bayard St,40.71928,-73.94861
10,2004.0,6 Ave & Broome St,40.724399,-74.004704
11,3265.0,E 2 St & 2 Ave E,40.7245634290432,-73.9894437789917
12,3264.0,E 61 St & Park Ave,40.76421007169064,-73.96910458803177
13,3114.0,India St & East River,40.73165141,-73.96161892
14,3450.0,Penn Station Valet - Valet Scan,40.7512836,-73.9969245
15,255.0,NYCBS Depot - SSP,40.646768,-74.01651
16,225.0,W 14 St & The High Line,40.74195138,-74.00803013
