,start_station_id,end_station_id,trips,mean_tripduration,station_name_start,station_latitude_start,station_longitude_start,station_name_end,station_latitude_end,station_longitude_end
0,72,72,6,1325,W 52 St & 11 Ave,40.76727216,-73.99392888,W 52 St & 11 Ave,40.76727216,-73.99392888
1,72,79,3,1532,W 52 St & 11 Ave,40.76727216,-73.99392888,Franklin St & W Broadway,40.71911552,-74.00666661
2,72,116,3,991,W 52 St & 11 Ave,40.76727216,-73.99392888,W 17 St & 8 Ave,40.74177603,-74.00149746
3,72,127,2,856,W 52 St & 11 Ave,40.76727216,-73.99392888,Barrow St & Hudson St,40.73172428,-74.00674436
4,72,128,1,1016,W 52 St & 11 Ave,40.76727216,-73.99392888,MacDougal St & Prince St,40.72710258,-74.00297088
5,72,137,2,725,W 52 St & 11 Ave,40.76727216,-73.99392888,E 56 St & Madison Ave,40.761628,-73.972924
6,72,147,2,1934,W 52 St & 11 Ave,40.76727216,-73.99392888,Greenwich St & Warren St,40.71542197,-74.01121978
7,72,150,2,1522,W 52 St & 11 Ave,40.76727216,-73.99392888,E 2 St & Avenue C,40.7208736,-73.98085795
8,72,151,1,1707,W 52 St & 11 Ave,40.76727216,-73.99392888,Cleveland Pl & Spring St,40.72210379,-73.99724901
9,72,152,1,1465,W 52 St & 11 Ave,40.76727216,-73.99392888,Warren St & Church St,40.71473993,-74.00910627
10,72,153,2,969,W 52 St & 11 Ave,40.76727216,-73.99392888,E 40 St & 5 Ave,40.75206231,-73.9816324
11,72,164,1,901,W 52 St & 11 Ave,40.76727216,-73.99392888,E 47 St & 2 Ave,40.75323098,-73.97032517
12,72,167,1,1239,W 52 St & 11 Ave,40.76727216,-73.99392888,E 39 St & 3 Ave,40.7489006,-73.97604882
13,72,168,1,932,W 52 St & 11 Ave,40.76727216,-73.99392888,W 18 St & 6 Ave,40.73971301,-73.99456405
14,72,173,17,455,W 52 St & 11 Ave,40.76727216,-73.99392888,Broadway & W 49 St,40.76068327,-73.98452729
15,72,195,2,1832,W 52 St & 11 Ave,40.76727216,-73.99392888,Liberty St & Broadway,40.70905623,-74.01043382
16,72,212,21,945,W 52 St & 11 Ave,40.76727216,-73.99392888,W 16 St & The High Line,40.74334935,-74.00681753
17,72,223,1,512,W 52 St & 11 Ave,40.76727216,-73.99392888,W 13 St & 7 Ave,40.73781509,-73.99994661
